Category: EMCI
Cores: 10
Subjects: 60
Training set size: 59
Testing set size: 1
Lambda coefficient: 0.0
Matrix: I
Binary matrix: yes
Iterations per patient: 3000000
Folds: 60
Elapsed time for training (s): 1244.37
Total time (s): 1291.85
+------+---------------+-------------+------------------+-----------------+
|  CG  | Avg MSE test  | SD MSE test | Avg Pearson test | SD Pearson test |
+------+---------------+-------------+------------------+-----------------+
| EMCI |     0.0065    |     0.02    |      0.917       |       0.2       |
+------+---------------+-------------+------------------+-----------------+
+---------------------------------------------------------------------------+---------------+-------------------+
|                                     ID                                    | Avg MSE train | Avg Pearson train |
+---------------------------------------------------------------------------+---------------+-------------------+
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2007/ |     0.0014    |       0.9588      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2052/ |     0.0055    |       0.8631      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2068/ |     0.0003    |       0.9118      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2146/ |     0.0037    |       0.8675      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2183/ |     0.0023    |       0.8997      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2184/ |     0.0171    |       0.366       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2187/ |     0.0005    |       0.9805      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2191/ |     0.0014    |       0.9647      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2201/ |     0.0006    |       0.968       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2213/ |     0.0018    |       0.9262      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2216/ |     0.001     |       0.9527      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2219/ |     0.0005    |       0.9781      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2234/ |     0.0005    |       0.9718      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2238/ |     0.0015    |       0.9503      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2239/ |     0.0018    |       0.9184      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2245/ |     0.0008    |       0.9493      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2263/ |     0.0006    |       0.9675      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2301/ |     0.0014    |       0.9298      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2304/ |     0.0038    |       0.7798      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2308/ |     0.0005    |       0.9752      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2336/ |     0.0014    |       0.958       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2360/ |     0.0035    |       0.8175      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2367/ |     0.0014    |       0.9513      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2379/ |     0.0019    |       0.951       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2390/ |     0.0007    |       0.9742      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2392/ |     0.0011    |       0.9511      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2405/ |     0.0005    |       0.9733      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2407/ |     0.0008    |       0.9625      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4051/ |     0.0542    |      -0.0174      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4072/ |     0.0017    |       0.8904      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4143/ |     0.0009    |       0.9385      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4168/ |     0.0007    |       0.9682      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4184/ |     0.0005    |       0.9713      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4185/ |     0.0007    |       0.9695      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4188/ |     0.0245    |       0.6784      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4199/ |     0.0008    |       0.9761      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4216/ |     0.0004    |       0.9794      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4271/ |     0.0224    |       0.0819      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4272/ |     0.0004    |       0.9741      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4301/ |     0.0007    |       0.9667      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4332/ |     0.0005    |       0.9776      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4380/ |     0.0019    |       0.9095      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4404/ |     0.0011    |       0.9465      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4419/ |     0.0015    |       0.9072      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4434/ |     0.0003    |       0.9787      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4455/ |     0.0007    |       0.9745      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4513/ |     0.0014    |       0.9257      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4594/ |     0.002     |       0.9568      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4674/ |     0.0006    |       0.9664      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4706/ |     0.0005    |       0.965       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4858/ |     0.0008    |       0.9657      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4874/ |     0.0007    |       0.9786      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4891/ |     0.0006    |       0.9721      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4893/ |     0.0026    |       0.9074      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4919/ |     0.0088    |       0.9092      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4926/ |     0.0025    |       0.9225      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4944/ |     0.0007    |       0.9592      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4974/ |     0.0008    |       0.9555      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI5004/ |     0.0005    |       0.9814      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI5007/ |     0.0004    |       0.9625      |
+---------------------------------------------------------------------------+---------------+-------------------+
+---------------------------------------------------------------------------+--------------+------------------+
|                                     ID                                    | Avg MSE test | Avg Pearson test |
+---------------------------------------------------------------------------+--------------+------------------+
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2007/ |    0.0021    |      0.9756      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2052/ |    0.0087    |      0.9306      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2068/ |    0.0003    |      0.9127      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2146/ |    0.0054    |      0.8858      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2183/ |    0.0045    |      0.961       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2184/ |    0.0175    |      0.4033      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2187/ |    0.0006    |      0.9845      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2191/ |    0.0027    |      0.9743      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2201/ |    0.001     |      0.9722      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2213/ |    0.0021    |      0.9373      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2216/ |    0.001     |      0.9547      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2219/ |    0.0005    |      0.9781      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2234/ |    0.0006    |      0.9718      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2238/ |    0.002     |      0.9647      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2239/ |    0.0025    |      0.9402      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2245/ |    0.0009    |      0.9473      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2263/ |    0.0007    |      0.9716      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2301/ |    0.0025    |      0.9707      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2304/ |    0.0079    |      0.9643      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2308/ |    0.0008    |      0.9768      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2336/ |    0.0024    |      0.9689      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2360/ |    0.0088    |      0.9425      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2367/ |    0.0015    |      0.9519      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2379/ |    0.0026    |      0.9702      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2390/ |    0.0007    |      0.9747      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2392/ |    0.001     |      0.9522      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2405/ |    0.0005    |      0.9714      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI2407/ |    0.0009    |      0.9638      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4051/ |    0.1459    |     -0.1363      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4072/ |    0.0032    |      0.9567      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4143/ |    0.0009    |      0.9384      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4168/ |    0.0007    |      0.9676      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4184/ |    0.0005    |      0.9708      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4185/ |    0.0016    |      0.9766      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4188/ |    0.0687    |      0.9227      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4199/ |    0.0009    |      0.9801      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4216/ |    0.0006    |      0.9809      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4271/ |    0.0313    |     -0.0163      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4272/ |    0.0009    |      0.9757      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4301/ |    0.0009    |      0.9654      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4332/ |    0.0011    |      0.9803      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4380/ |    0.0033    |      0.9237      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4404/ |    0.0012    |      0.9476      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4419/ |    0.0032    |      0.9584      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4434/ |    0.0003    |      0.9787      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4455/ |    0.0008    |      0.9776      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4513/ |    0.0019    |      0.9422      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4594/ |    0.0032    |      0.9735      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4674/ |    0.0006    |      0.9666      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4706/ |    0.0005    |      0.9664      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4858/ |    0.001     |      0.9661      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4874/ |    0.001     |      0.985       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4891/ |    0.0013    |      0.9796      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4893/ |    0.0056    |      0.9616      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4919/ |    0.0174    |      0.9276      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4926/ |    0.0056    |      0.972       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4944/ |    0.0007    |      0.9597      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI4974/ |    0.0009    |      0.956       |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI5004/ |    0.0008    |      0.9815      |
| /Users/marcin/Documents/studia/mgr/results/ADNI_derivatives/sub-EMCI5007/ |    0.0004    |      0.9614      |
+---------------------------------------------------------------------------+--------------+------------------+
